方法名称1,方法名称2,方法参数,返回值类型,链接
DataFrame.,to_timestamp,"(freq=None, how='start', axis=0, copy=None)",DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.to_timestamp.html
DatetimeIndex.,floor,"(*args, **kwargs)","DatetimeIndex, TimedeltaIndex, or Series",https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.floor.html
DatetimeIndex.,month_name,"(*args, **kwargs)",Series or Index,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.month_name.html
Series.,ravel,(order='C'),numpy.ndarray or ExtensionArray,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.ravel.html
MonthBegin.,is_on_offset,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.MonthBegin.is_on_offset.html
MonthBegin.,is_month_start,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.MonthBegin.is_month_start.html
pandas.api.types.,is_string_dtype,(arr_or_dtype),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_string_dtype.html
pandas.api.types.,is_string_dtype,(arr_or_dtype),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_string_dtype.html
Series.,repeat,"(repeats, axis=None)",Series,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.repeat.html
DataFrame.,tz_convert,"(tz, axis=0, level=None, copy=None)",Series/DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.tz_convert.html
DatetimeIndex.,ceil,"(*args, **kwargs)","DatetimeIndex, TimedeltaIndex, or Series",https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.ceil.html
DatetimeIndex.,day_name,"(*args, **kwargs)",Series or Index,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.day_name.html
pandas.api.types.,is_timedelta64_dtype,(arr_or_dtype),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_timedelta64_dtype.html
pandas.api.types.,is_timedelta64_dtype,(arr_or_dtype),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_timedelta64_dtype.html
Series.,repeat,"(repeats, axis=None)",Series,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.repeat.html
MonthBegin.,is_month_start,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.MonthBegin.is_month_start.html
MonthBegin.,is_month_end,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.MonthBegin.is_month_end.html
DatetimeIndex.,month_name,"(*args, **kwargs)",Series or Index,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.month_name.html
DatetimeIndex.,as_unit,"(*args, **kwargs)",same type as self,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.as_unit.html
pandas.api.types.,is_timedelta64_ns_dtype,(arr_or_dtype),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_timedelta64_ns_dtype.html
DataFrame.,tz_localize,"(tz, axis=0, level=None, copy=None, ambiguous='raise', nonexistent='raise')",Series/DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.tz_localize.html
Series.,squeeze,(axis=None),"DataFrame, Series, or scalar",https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.squeeze.html
pandas.api.types.,is_timedelta64_ns_dtype,(arr_or_dtype),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_timedelta64_ns_dtype.html
DatetimeIndex.,day_name,"(*args, **kwargs)",Series or Index,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.day_name.html
DatetimeIndex.,to_period,"(*args, **kwargs)",PeriodArray/Index,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.to_period.html
pandas.api.types.,is_unsigned_integer_dtype,(arr_or_dtype),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_unsigned_integer_dtype.html
Series.,squeeze,(axis=None),"DataFrame, Series, or scalar",https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.squeeze.html
pandas.,Flags,"(obj, *, allows_duplicate_labels)",,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Flags.html
MonthBegin.,is_quarter_start,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.MonthBegin.is_quarter_start.html
MonthBegin.,is_month_end,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.MonthBegin.is_month_end.html
Series.,view,(dtype=None),Series,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.view.html
pandas.api.types.,is_unsigned_integer_dtype,(arr_or_dtype),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_unsigned_integer_dtype.html
DatetimeIndex.,as_unit,"(*args, **kwargs)",same type as self,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.as_unit.html
pandas.api.types.,is_sparse,(arr),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_sparse.html
DatetimeIndex.,to_pydatetime,"(*args, **kwargs)",numpy.ndarray,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.to_pydatetime.html
DataFrame.,attrs,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.attrs.html
Series.,view,(dtype=None),Series,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.view.html
pandas.api.types.,is_sparse,(arr),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_sparse.html
Series.,compare,"(other, align_axis=1, keep_shape=False, keep_equal=False, result_names=('self', 'other'))",Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.compare.html
MonthBegin.,is_quarter_end,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.MonthBegin.is_quarter_end.html
MonthBegin.,is_quarter_start,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.MonthBegin.is_quarter_start.html
DatetimeIndex.,to_period,"(*args, **kwargs)",PeriodArray/Index,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.to_period.html
pandas.api.types.,is_dict_like,(obj),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_dict_like.html
DatetimeIndex.,to_series,"(index=None, name=None)",Series,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.to_series.html
DataFrame.,plot,"(*args, **kwargs)",matplotlib.axes.Axes or numpy.ndarray of them,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.plot.html
Series.,compare,"(other, align_axis=1, keep_shape=False, keep_equal=False, result_names=('self', 'other'))",Series or DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.compare.html
pandas.api.types.,is_dict_like,(obj),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_dict_like.html
DatetimeIndex.,to_pydatetime,"(*args, **kwargs)",numpy.ndarray,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.to_pydatetime.html
pandas.api.types.,is_file_like,(obj),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_file_like.html
DatetimeIndex.,to_frame,"(index=True, name=_NoDefault.no_default)",DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.to_frame.html
Series.,update,(other),,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.update.html
DataFrame.plot.,area,"(x=None, y=None, stacked=True, **kwargs)",matplotlib.axes.Axes or numpy.ndarray,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.plot.area.html
MonthBegin.,is_year_start,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.MonthBegin.is_year_start.html
MonthBegin.,is_quarter_end,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.MonthBegin.is_quarter_end.html
DatetimeIndex.,to_series,"(index=None, name=None)",Series,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.to_series.html
pandas.api.types.,is_file_like,(obj),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_file_like.html
pandas.api.types.,is_list_like,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_list_like.html
DatetimeIndex.,mean,"(*, skipna=True, axis=0)",scalar,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.mean.html
Series.,update,(other),,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.update.html
DataFrame.plot.,bar,"(x=None, y=None, **kwargs)",matplotlib.axes.Axes or np.ndarray of them,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.plot.bar.html
DatetimeIndex.,std,"(*args, **kwargs)",Timedelta,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.std.html
pandas.api.types.,is_named_tuple,(obj),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_named_tuple.html
Series.,asfreq,"(freq, method=None, how=None, normalize=False, fill_value=None)",Series,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.asfreq.html
DatetimeIndex.,to_frame,"(index=True, name=_NoDefault.no_default)",DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.to_frame.html
pandas.api.types.,is_list_like,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_list_like.html
MonthBegin.,is_year_start,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.MonthBegin.is_year_start.html
MonthBegin.,is_year_end,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.MonthBegin.is_year_end.html
Series.,asfreq,"(freq, method=None, how=None, normalize=False, fill_value=None)",Series,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.asfreq.html
pandas.,TimedeltaIndex,"(data=None, unit=None, freq=_NoDefault.no_default, closed=None, dtype=None, copy=False, name=None)",,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.TimedeltaIndex.html
pandas.api.types.,is_iterator,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_iterator.html
pandas.api.types.,is_named_tuple,(obj),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_named_tuple.html
DatetimeIndex.,mean,"(*, skipna=True, axis=0)",scalar,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.mean.html
Series.,asof,"(where, subset=None)","scalar, Series, or DataFrame",https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.asof.html
DataFrame.plot.,barh,"(x=None, y=None, **kwargs)",matplotlib.axes.Axes or np.ndarray of them,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.plot.barh.html
MonthBegin.,is_year_end,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.MonthBegin.is_year_end.html
pandas.tseries.offsets.,BusinessMonthEnd,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BusinessMonthEnd.html
Series.,asof,"(where, subset=None)","scalar, Series, or DataFrame",https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.asof.html
pandas.api.types.,is_bool,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_bool.html
DatetimeIndex.,std,"(*args, **kwargs)",Timedelta,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DatetimeIndex.std.html
TimedeltaIndex.,days,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.TimedeltaIndex.days.html
pandas.api.types.,is_iterator,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_iterator.html
DataFrame.plot.,box,"(by=None, **kwargs)",matplotlib.axes.Axes or numpy.ndarray of them,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.plot.box.html
Series.,shift,"(periods=1, freq=None, axis=0, fill_value=None)",Series,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.shift.html
TimedeltaIndex.,seconds,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.TimedeltaIndex.seconds.html
pandas.api.types.,is_complex,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_complex.html
pandas.api.types.,is_bool,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_bool.html
pandas.,TimedeltaIndex,"(data=None, unit=None, freq=_NoDefault.no_default, closed=None, dtype=None, copy=False, name=None)",,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.TimedeltaIndex.html
Series.,shift,"(periods=1, freq=None, axis=0, fill_value=None)",Series,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.shift.html
DataFrame.plot.,density,"(bw_method=None, ind=None, **kwargs)",matplotlib.axes.Axes or numpy.ndarray of them,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.plot.density.html
pandas.tseries.offsets.,BMonthEnd,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BMonthEnd.html
pandas.tseries.offsets.,BusinessMonthEnd,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BusinessMonthEnd.html
Series.,first_valid_index,(),type of index,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.first_valid_index.html
TimedeltaIndex.,microseconds,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.TimedeltaIndex.microseconds.html
pandas.api.types.,is_complex,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_complex.html
pandas.api.types.,is_float,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_float.html
Series.,first_valid_index,(),type of index,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.first_valid_index.html
TimedeltaIndex.,days,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.TimedeltaIndex.days.html
DataFrame.plot.,hexbin,"(x, y, C=None, reduce_C_function=None, gridsize=None, **kwargs)",matplotlib.AxesSubplot,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.plot.hexbin.html
Series.,last_valid_index,(),type of index,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.last_valid_index.html
TimedeltaIndex.,nanoseconds,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.TimedeltaIndex.nanoseconds.html
pandas.tseries.offsets.,BMonthEnd,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BMonthEnd.html
BusinessMonthEnd.,freqstr,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BusinessMonthEnd.freqstr.html
TimedeltaIndex.,seconds,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.TimedeltaIndex.seconds.html
pandas.api.types.,is_hashable,(obj),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_hashable.html
pandas.api.types.,is_float,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_float.html
Series.,last_valid_index,(),type of index,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.last_valid_index.html
DataFrame.plot.,hist,"(by=None, bins=10, **kwargs)",class:matplotlib.AxesSubplot,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.plot.hist.html
TimedeltaIndex.,components,,DataFrame,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.TimedeltaIndex.components.html
pandas.api.types.,is_integer,(),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_integer.html
pandas.api.types.,is_hashable,(obj),boolean,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.api.types.is_hashable.html
TimedeltaIndex.,microseconds,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.TimedeltaIndex.microseconds.html
BusinessMonthEnd.,freqstr,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BusinessMonthEnd.freqstr.html
BusinessMonthEnd.,kwds,,,https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.tseries.offsets.BusinessMonthEnd.kwds.html
